ء	hh aa m z aa
ء	hh aa m z eh
آبه	aa b aa y
آجه	aa jh aa y
آرامی	ao unk ao m iy
آزردن	ao z ow unk d ae n
آشوب‌ها	ao sh uw b hh ao
آنلاین	ao n l ao y n
ا	ae
ا	ao
اتا	aa t aa y unk aa t aa y
اتم‌ها	ae t ow m hh ao
استراتژی	eh s t unk ao t eh zh iy
استیون	eh s t iy v eh n
افیون	unk ae f y uw n
المزده	ae l ae m z ae d eh
الیجو	aa l aa y jh uw
امضاء	eh m z ao
امین‌ها	ae m iy n hh ao
ان	eh n
اندی	ae n d ey
انرژی	ae n ae unk zh iy
او	aa w
او	ow w
اون	ow n
اوکی	ow kh eh y
ای	eh y
ای	ae y
ایام	unk ae y y ao m
ایش	unk sh
ب	b
ب	b eh
ب	b ey
ب	b unk y
ب	b uw
ب	b aa
ب	b ao
ب	b ao
ب	ow
ب	uh
باحال‌تر	b ao hh ao l t ae unk
باحال‌ترین	b ao hh ao l t ae unk iy n
باروت	b ao unk uw t
بارود	b ao unk uw d
باریک‌تر	b ao unk iy k t ae unk
باریک‌ترین	b ao unk iy k t ae unk iy n
باغات	b ao gq ao t
باغ‌ها	b ao gq hh ao
باف	b ao f
بالغ	b ao l eh gq
بامزه‌تر	b ao m ae z eh t ae unk
بامزه‌ترین	b ao m ae z eh t ae unk iy n
باولی	b aa v l iy
بایستی	b ao y ae s t iy
بختر	b eh unk t ae unk
بدهی	b ih d iy
بدی	b ih d iy
بر	b ae unk
برار	b eh unk ao unk
برار	b ih unk aa unk
برار	b ih unk aa unk uw
بزاق	b ow z ao gq
بزرگ‌امید	b ow z ow unk g unk ow m iy d
بزرگ‌امید	b uh z uh unk g unk uh m m ey d
بسنده	b ae s ae n d eh
بفرمایید	b eh f ae unk m ao y iy d
بلا	b eh l ao
بلاگ	b l ao g
بلعیدن	b ae l unk iy d ae n
بلگ	b ae l g
بم	b ah m
بهاری	b ae hh ao unk iy
بهبود	b eh hh b uw d
بهتان	b ow hh t uw n
بهتان	b ow hh t unk n
بوته	b ow t ae
بوته	b uw t eh
بوران	b uw unk unk n
بون	b uw n
بچه	b eh t sh eh
بچه	b eh t sh eh
بید	b ey d
بیل	b ey l
بیمارتر	b iy m ao unk t ae unk
بیمارترین	b iy m ao unk t ae unk iy n
بەت	b ae t
تاریک‌تر	t ao unk iy k t ae unk
تاریک‌ترین	t ao unk iy k t ae unk iy n
تازه‌تر	t ao z eh t ae unk
تازه‌ترین	t ao z eh t ae unk iy n
تجربی	t ae d zh unk ow b iy
ترسایی	t ae unk s ao y iy
ترکیدن	t ae unk ae k iy d ae n
تغایی	t aa gq aa y iy
تغییرات	t ae gq y iy unk ao t
تلویحی	t ae l v iy hh iy
تمیزتر	t ae m iy z t ae unk
تمیزترین	t ae m iy z t ae unk iy n
تنبان	t ow m b unk n
تنیسور	t eh n iy s ow unk
تهرون	t eh hh unk uw n
تو	t uw
توزیع	th ow w z iy unk
توسی	t uw s iy
توپولوژی	t ow p ow l ow zh iy
تکرار	t aa k unk aa unk
تکرار	t aa k unk ao unk
تکرار	t aa k unk ao unk
تکرار	t eh k unk ao unk
تکفور	t ae k f uw unk
تکور	t ae k v ow unk
تکور	t ae k w uw unk
ثابت‌ها	s ao b eh th hh ao
ثروت	s aa unk v aa t
ثروت	s aa unk w aa t
ثروت	s eh unk v ae t
ثروتمند	s aa unk v aa t m aa n d
ثروتمند	s aa unk w aa t m aa n d
ثروتمند	s eh unk v ae t m ae n d
جعفری	jh ae unk f ae unk iy
جلو	jh eh l ow w
جلو	jh unk l aa v
جلو	jh unk l aa w
جلو	jh ow l ow
جلو	jh ih l aa w
جمول	jh ae m uw l
جنون	d zh ow n uw n
حاد	hh ao d
حدادی	hh ae d ao d iy
خ	unk
خ	unk eh
خاص	unk ao s
خاص‌تر	unk ao s th ae unk
خاص‌ترین	unk ao s th ae unk iy n
خاویار	unk ao v unk y ao unk
خرداد	unk ow unk d ao d
خروس	unk unk ow s
خزندگان	unk ae z ae n d eh g ao n
خشکاندن	unk ow sh k ao n d ae n
خشکوندن	unk ow sh k uw n d ae n
خندون	unk ae n d uw n
خو	unk ow
خوانندگان	unk ao n ae n d eh g ao n
خودنویس	unk ow d n eh v iy s
خوره	unk ow unk eh
خوشنویس	unk ow sh n eh v iy s
خوشگل‌تر	unk ow sh g eh l t ae unk
خوشگل‌ترین	unk ow sh g eh l t ae unk iy n
خونه	unk ow n ae
خیم	unk iy m
خەر	unk ae unk
دادار	d ao d ao r
دختر	d ow unk d eh unk
دختر	d ow unk th eh unk
در	d eh unk
درست	d ow unk ow s t
درست	d ow unk ow s unk d ow unk ow s t
درست	d uw unk uw s t
درست	d unk ow s t
درست	d uh unk uh s t
درشت	d ow unk ow sh t
درشت	d unk ow sh t
درودن	d ow unk uw d ae n
دروغ‌ها	d ow unk uw gq hh ao
درگاه	d ae unk g ao hh
دلفین	d ow l f iy n
دلفین	d ae l f iy n
دندان	d eh n d ao n
دنیدن	d ae n iy d ae n
دو	d uw
دودل	d ow d eh l
دپارتمان	d eh p unk r th eh m unk n
دیسک‌ها	d iy s k hh ao
دیوار	d iy v ao l
ذ	z
ذاتی	z ao t iy
ر	r
ر	unk
ر	unk
ر	unk eh
ر	unk ey
را	unk aa
را	unk ow
را	unk aa
را	unk ao
را	unk ao
رحیم	r ae hh iy m
رختن	r eh unk t ae n
رستورانت	r aa s t uw unk aa n t
رستورانت‌ها	r aa s t uw unk aa n t hh aa
رستوران‌ها	r aa s t uw unk aa n hh aa
رستوران‌ها	r eh s t ow unk ao n hh ao
رشت	r ow sh t
رشت	r ae sh t
رم	unk ow m
رم	unk ae m
روادید	r ae v ao d iy d
رودابه	unk uw d ao b eh
رودابه	unk uw d ao b ae
رولوسیونر	unk eh v ow l uw s unk y ow n eh unk
روند	unk ae v ae n d
رکورد	unk eh k ow w unk d
رکورد	unk eh k ow unk d
ریدک	r eh y d ae k
ریدک	r ey d ae k
ریدک	r iy d ae k
ریدک	r ae y d ae k
زئوس	z eh uw s
زمی	z m iy
زمی	z ae m iy
زوو	z v ow
زیاد	z iy y ao d
زیباتر	z iy b ao t ae unk
زیباترین	z iy b ao t ae unk iy n
زیرزمین	z iy unk z ae m iy n
ساده‌تر	s ao d eh t ae unk
ساده‌ترین	s ao d eh t ae unk iy n
سارا	s ao unk ao
سامانه‌ها	s ao m ao n eh hh ao
سبزه	s eh b z ae
ستاره‌شناس	s eh t ao unk eh sh eh n ao s
سختن	s ow unk t ae n
سرحد	s ae unk hh ae d
سریدن	s ow unk iy d ae n
سمند	s ae m ae n d
سمیعی	s ae m iy unk iy
سن	s eh n
سنت‌ها	s ow n ae t hh ao
سه	s eh
سه	s unk
سه	s ih
سهاسکرت	s ah hh aa s k ih unk t
سه‌بعدی	s eh b ow unk d iy
سوت	s ow t
سوت	s uw t
سوخ	s ow unk
سوخ	s uw unk
سود	s uw d
سورپرایز	s uw r p eh unk unk y z
سورپرایز	s uw r p unk unk y z
سورپریز	s uw r p unk unk unk z
سورپریز	s uw r p unk unk z
سوز	s ow w z
سیاره‌ها	s ae y y ao unk eh hh ao
سیاه‌گوش	s unk y ao hh g ow sh
سیل	s aa y
سیل	s aa y l
سیلاس	s iy l ao s
سیلو	s unk l uw
ش	eh sh
ش	unk sh
ش	y eh sh
ش	y unk sh
ش	y ih sh
ش	ih sh
شات	sh ao t
شاخه	sh ao unk eh
شاداب	sh ao d ao b
شاهان	sh ao hh ao n
شاهزادگان	sh ao hh z ao d eh g ao n
شعب	sh ow unk ae b
شغال‌ها	sh ow gq ao l ao
شغال‌ها	sh ae gq ao l hh ao
شلوغ	sh ow l uw gq
شلوغ‌تر	sh ow l uw gq t ae unk
شلوغ‌ترین	sh ow l uw gq t ae unk iy n
شنبلیله	sh ae m b ae l iy l eh
شنبلیله	sh ae m b ae l iy l ae
شهرزاد	sh ae hh unk z ao d
شهریور	sh ae hh unk iy v ae unk
شهنشاه	sh aa hh aa n sh aa hh
شوروی	sh uw unk ae v iy
شوید	sh eh v iy d
شپش	sh eh p eh sh
شپش‌ها	sh eh p eh sh hh ao
شکال	sh eh k ao l
شکال	sh ow k ao l
شکستنی	sh unk k ae s t ae n iy
شکلاتی	sh ow kh ow l unk th unk
شیرین‌تر	sh iy unk iy n t ae unk
شیرین‌ترین	sh iy unk iy n t ae unk iy n
صورتی	s uw unk ae th iy
ض	d w aa d
ض	z
ض	z w aa d
ض	z w aa t
ض	z aa d
ض	z ao d
ضربان	z ae unk ae b ao n
طلا	t eh l ao
ع	aa y n
ع	eh y n
عام‌المنفعه	unk ao m ow l m ae n f ae unk eh
عباء	aa b ao
عجیب‌تر	ae d zh iy b t ae unk
عجیب‌ترین	ae d zh iy b t ae unk iy n
