ء	ʔ
ء	ʔ
آبه	ɒː b e
آجه	ɒː dʒ e
آرامی	ɒː r ɒ m iː
آزردن	ɒː z r d n
آشوب‌ها	ɒː ʃ u b h ɒ
آنلاین	ɒː n l ɒ j n
ا	ɒ
ا	ɒ
اتا	ɒ t ɒ
اتم‌ها	ɒ t m h ɒ
استراتژی	ɒ s t r ɒ t ʒ iː
استیون	ɒ s t i v n
افیون	ɒ f i v n
المزده	ɒ l m z d e
الیجو	ɒ l i dʒ uː
امضاء	ɒ m z ɒ ʔ
امین‌ها	ɒ m i n h ɒ
ان	ɒ n
اندی	ɒ n d iː
انرژی	ɒ n r ʒ iː
او	ɒ uː
او	ɒ uː
اون	ɒ v n
اوکی	ɒ v k iː
ای	ɒ iː
ای	ɒ iː
ایام	ɒ j ɒ m
ایش	ɒ j ʃ
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
باحال‌تر	b ɒ h ɒ l t r
باحال‌ترین	b ɒ h ɒ l t r i n
باروت	b ɒ r u t
بارود	b ɒ r u d
باریک‌تر	b ɒ r i k t r
باریک‌ترین	b ɒ r i k t r i n
باغات	b ɒ ɣ ɒ t
باغ‌ها	b ɒ ɣ h ɒ
باف	b ɒ f
بالغ	b ɒ l ɣ
بامزه‌تر	b ɒ m z h t r
بامزه‌ترین	b ɒ m z h t r i n
باولی	b ɒ v l iː
بایستی	b ɒ j s t iː
بختر	b x t r
بدهی	b d h iː
بدی	b d iː
بر	b r
برار	b r ɒ r
برار	b r ɒ r
برار	b r ɒ r
بزاق	b z ɒ ɢ
بزرگ‌امید	b z r ɡ ɒ m i d
بزرگ‌امید	b z r ɡ ɒ m i d
بسنده	b s n d e
بفرمایید	b f r m ɒ j j d
بلا	b l ɒ
بلاگ	b l ɒ ɡ
بلعیدن	b l ʔ i d n
بلگ	b l ɡ
بم	b m
بهاری	b h ɒ r iː
بهبود	b h b u d
بهتان	b h t ɒ n
بهتان	b h t ɒ n
بوته	b u t e
بوته	b u t e
بوران	b u r ɒ n
بون	b u n
بچه	b tʃ e
بچه	b tʃ e
بید	b i d
بیل	b i l
بیمارتر	b i m ɒ r t r
بیمارترین	b i m ɒ r t r i n
بەت	b t
تاریک‌تر	t ɒ r i k t r
تاریک‌ترین	t ɒ r i k t r i n
تازه‌تر	t ɒ z h t r
تازه‌ترین	t ɒ z h t r i n
تجربی	t dʒ r b iː
ترسایی	t r s ɒ j iː
ترکیدن	t r k i d n
تغایی	t ɣ ɒ j iː
تغییرات	t ɣ i j r ɒ t
تلویحی	t l u j h iː
تمیزتر	t m i z t r
تمیزترین	t m i z t r i n
تنبان	t n b ɒ n
تنیسور	t n i s u r
تهرون	t h r u n
تو	t uː
توزیع	t u z i ʔ
توسی	t u s iː
توپولوژی	t u p u l u ʒ iː
تکرار	t k r ɒ r
تکرار	t k r ɒ r
تکرار	t k r ɒ r
تکرار	t k r ɒ r
تکفور	t k f u r
تکور	t k u r
تکور	t k u r
ثابت‌ها	s ɒ b t h ɒ
ثروت	s r u t
ثروت	s r u t
ثروت	s r u t
ثروتمند	s r u t m n d
ثروتمند	s r u t m n d
ثروتمند	s r u t m n d
جعفری	dʒ ʔ f r iː
جلو	dʒ l uː
جلو	dʒ l uː
جلو	dʒ l uː
جلو	dʒ l uː
جلو	dʒ l uː
جمول	dʒ m u l
جنون	dʒ n u n
حاد	h ɒ d
حدادی	h d ɒ d iː
خ	x
خ	x
خاص	x ɒ s
خاص‌تر	x ɒ s t r
خاص‌ترین	x ɒ s t r i n
خاویار	x ɒ v j ɒ r
خرداد	x r d ɒ d
خروس	x r u s
خزندگان	x z n d ɡ ɒ n
خشکاندن	x ʃ k ɒ n d n
خشکوندن	x ʃ k u n d n
خندون	x n d u n
خو	x uː
خوانندگان	x u ɒ n n d ɡ ɒ n
خودنویس	x u d n u j s
خوره	x u r e
خوشنویس	x u ʃ n u j s
خوشگل‌تر	x u ʃ ɡ l t r
خوشگل‌ترین	x u ʃ ɡ l t r i n
خونه	x u n e
خیم	x i m
خەر	x r
دادار	d ɒ d ɒ r
دختر	d x t r
دختر	d x t r
در	d r
درست	d r s t
درست	d r s t
درست	d r s t
درست	d r s t
درست	d r s t
درشت	d r ʃ t
درشت	d r ʃ t
درودن	d r u d n
دروغ‌ها	d r u ɣ h ɒ
درگاه	d r ɡ ɒ e
دلفین	d l f i n
دلفین	d l f i n
دندان	d n d ɒ n
دنیدن	d n i d n
دو	d uː
دودل	d u d l
دپارتمان	d p ɒ r t m ɒ n
دیسک‌ها	d i s k h ɒ
دیوار	d i v ɒ r
ذ	z
ذاتی	z ɒ t iː
ر	r
ر	r
ر	r
ر	r
ر	r
را	r ɒ
را	r ɒ
را	r ɒ
را	r ɒ
را	r ɒ
رحیم	r h i m
رختن	r x t n
رستورانت	r s t u r ɒ n t
رستورانت‌ها	r s t u r ɒ n t h ɒ
رستوران‌ها	r s t u r ɒ n h ɒ
رستوران‌ها	r s t u r ɒ n h ɒ
رشت	r ʃ t
رشت	r ʃ t
رم	r m
رم	r m
روادید	r u ɒ d i d
رودابه	r u d ɒ b e
رودابه	r u d ɒ b e
رولوسیونر	r u l u s i v n r
روند	r u n d
رکورد	r k u r d
رکورد	r k u r d
ریدک	r i d k
ریدک	r i d k
ریدک	r i d k
ریدک	r i d k
زئوس	z ʔ u s
زمی	z m iː
زمی	z m iː
زوو	z u uː
زیاد	z i ɒ d
زیباتر	z i b ɒ t r
زیباترین	z i b ɒ t r i n
زیرزمین	z i r z m i n
ساده‌تر	s ɒ d h t r
ساده‌ترین	s ɒ d h t r i n
سارا	s ɒ r ɒ
سامانه‌ها	s ɒ m ɒ n h h ɒ
سبزه	s b z e
ستاره‌شناس	s t ɒ r h ʃ n ɒ s
سختن	s x t n
سرحد	s r h d
سریدن	s r i d n
سمند	s m n d
سمیعی	s m i ʔ iː
سن	s n
سنت‌ها	s n t h ɒ
سه	s e
سه	s e
سه	s e
سهاسکرت	s h ɒ s k r t
سه‌بعدی	s h b ʔ d iː
سوت	s u t
سوت	s u t
سوخ	s u x
سوخ	s u x
سود	s u d
سورپرایز	s u r p r ɒ j z
سورپرایز	s u r p r ɒ j z
سورپریز	s u r p r i z
سورپریز	s u r p r i z
سوز	s u z
سیاره‌ها	s i ɒ r h h ɒ
سیاه‌گوش	s i ɒ h ɡ u ʃ
سیل	s i l
سیل	s i l
سیلاس	s i l ɒ s
سیلو	s i l uː
ش	ʃ
ش	ʃ
ش	ʃ
ش	ʃ
ش	ʃ
ش	ʃ
شات	ʃ ɒ t
شاخه	ʃ ɒ x e
شاداب	ʃ ɒ d ɒ b
شاهان	ʃ ɒ h ɒ n
شاهزادگان	ʃ ɒ h z ɒ d ɡ ɒ n
شعب	ʃ ʔ b
شغال‌ها	ʃ ɣ ɒ l h ɒ
شغال‌ها	ʃ ɣ ɒ l h ɒ
شلوغ	ʃ l u ɣ
شلوغ‌تر	ʃ l u ɣ t r
شلوغ‌ترین	ʃ l u ɣ t r i n
شنبلیله	ʃ n b l i l e
شنبلیله	ʃ n b l i l e
شهرزاد	ʃ h r z ɒ d
شهریور	ʃ h r i v r
شهنشاه	ʃ h n ʃ ɒ e
شوروی	ʃ u r u iː
شوید	ʃ u j d
شپش	ʃ p ʃ
شپش‌ها	ʃ p ʃ h ɒ
شکال	ʃ k ɒ l
شکال	ʃ k ɒ l
شکستنی	ʃ k s t n iː
شکلاتی	ʃ k l ɒ t iː
شیرین‌تر	ʃ i r i n t r
شیرین‌ترین	ʃ i r i n t r i n
صورتی	s u r t iː
ض	z
ض	z
ض	z
ض	z
ض	z
ض	z
ضربان	z r b ɒ n
طلا	t l ɒ
ع	ʔ
ع	ʔ
عام‌المنفعه	ʔ ɒ m ɒ l m n f ʔ e
عباء	ʔ b ɒ ʔ
عجیب‌تر	ʔ dʒ i b t r
عجیب‌ترین	ʔ dʒ i b t r i n
عضوها	ʔ z u h ɒ
عمو	ʔ m uː
غذا	ɣ z ɒ
غرق	ɣ r ɢ
غمگینی	ɣ m ɡ i n iː
غژب	ɣ ʒ b
فاک	f ɒ k
فر	f r
فرآیند	f r ɒː j n d
فراموشیدن	f r ɒ m u ʃ i d n
فروردین	f r u r d i n
فروهر	f r u h r
فروهر	f r u h r
فسیل	f s i l
فلاخن	f l ɒ x n
فوق‌العاده	f u ɢ ɒ l ʔ ɒ d e
فون	f u n
فک	f k
ق	ɢ
قربک	ɢ r b k
قزاق	ɢ z ɒ ɢ
قشنگی	ɢ ʃ n ɡ iː
لبی	l b iː
لزوماً	l z u m ɒ
لهذا	l h z ɒ
لوله	l u l e
لوله	l u l e
لی	l iː
لیک	l i k
م	m
مادر	m ɒ d r
مارس	m ɒ r s
ماهور	m ɒ h u r
مجرد	m dʒ r d
محافظه‌کار	m h ɒ f z h k ɒ r
مختل	m x t l
مد	m d
مر	m r
مرد	m r d
مرداد	m r d ɒ d
مردها	m r d h ɒ
مرغ‌ها	m r ɣ h ɒ
مرو	m r uː
مرو	m r uː
مروارید	m r u ɒ r i d
مروارید	m r u ɒ r i d
مروارید	m r u ɒ r i d
مروزی	m r u z iː
مروزی	m r u z iː
مروزی	m r u z iː
مرچ	m r tʃ
مریضی	m r i z iː
مشکل‌تر	m ʃ k l t r
مشکل‌ترین	m ʃ k l t r i n
مشکل‌ها	m ʃ k l h ɒ
مصون	m s u n
معالجه	m ʔ ɒ l dʒ e
مغرور	m ɣ r u r
مل	m l
مله	m l e
مناسبت	m n ɒ s b t
مناسبت	m n ɒ s b t
منطقه	m n t ɢ e
منطقه	m n t ɢ e
منیژه	m n i ʒ e
منیژه	m n i ʒ e
مه	m e
مه	m e
مه	m e
مه	m e
مه	m e
مو	m uː
موز	m u z
مولانا	m u l ɒ n ɒ
مولانا	m u l ɒ n ɒ
مومیا	m u m i ɒ
مومیا	m u m i ɒ
مک	m k
مگ	m ɡ
مگ	m ɡ
می	m iː
میخی	m i x iː
میرزاخانی	m i r z ɒ x ɒ n iː
میرزاخانی	m i r z ɒ x ɒ n iː
مین	m i n
می‌گم	m i ɡ m
ن	n
ن	n
نالان	n ɒ l ɒ n
نالون	n ɒ l u n
نان	n ɒ n
نجس‌تر	n dʒ s t r
نجس‌ترین	n dʒ s t r i n
نریمان	n r i m ɒ n
نزدیک‌تر	n z d i k t r
نزدیک‌ترین	n z d i k t r i n
نسرین	n s r i n
نشلیدن	n ʃ l i d n
نعوظ	n ʔ u z
نمایان	n m ɒ j ɒ n
نمایان	n m ɒ j ɒ n
نمایندگان	n m ɒ j n d ɡ ɒ n
نمایه	n m ɒ j e
نمودار	n m u d ɒ r
نمک	n m k
نمک	n m k
نمک	n m k
نه	n e
نه	n e
نه	n e
نه	n e
نه	n e
نوم	n u m
نوم	n u m
نومد	n u m d
نوک	n u k
نیازها	n i ɒ z h ɒ
نیرومند	n i r u m n d
نیزه	n i z e
نیوشا	n i v ʃ ɒ
هرتز	h r t z
هلو	h l uː
همساده	h m s ɒ d e
همساده	h m s ɒ d e
همسده	h m s d e
همه	h m e
همه	h m e
هوتن	h u t n
هیس	h i s
و	uː
و	uː
و	uː
واقع	u ɒ ɢ ʔ
واقع	u ɒ ɢ ʔ
واقع	u ɒ ɢ ʔ
واقع	u ɒ ɢ ʔ
والا	u ɒ l ɒ
واژه‌ها	u ɒ ʒ h h ɒ
واکسن	u ɒ k s n
وروجک	u r u dʒ k
وروجک	u r u dʒ k
وزغ	u z ɣ
ونوس	u n u s
ویستا	u j s t ɒ
ویه	u j e
ویژگی‌ها	u j ʒ ɡ i h ɒ
پ	p
پ	p
پا	p ɒ
پارسه	p ɒ r s e
پتلون	p t l u n
پدر	p d r
پر	p r
پرتگاه	p r t ɡ ɒ e
پروسه	p r u s e
پروسه	p r u s e
پروسه	p r u s e
پروژه	p r u ʒ e
پروژه	p r u ʒ e
پروژه	p r u ʒ e
پروگرام	p r u ɡ r ɒ m
پروگرام	p r u ɡ r ɒ m
پروگرام	p r u ɡ r ɒ m
پرویز	p r u j z
پرویز	p r u j z
پسر	p s r
پسی	p s iː
پش	p ʃ
پشتون	p ʃ t u n
پشمین	p ʃ m i n
پشه	p ʃ e
پشه	p ʃ e
پلان	p l ɒ n
پلان	p l ɒ n
پلاک	p l ɒ k
پناهندگان	p n ɒ h n d ɡ ɒ n
پوده	p u d e
پوزخند	p u z x n d
پی	p iː
پی	p iː
پیر	p i r
پیرتر	p i r t r
پیرترین	p i r t r i n
چ	tʃ
چرخیدن	tʃ r x i d n
چرک	tʃ r k
چرک	tʃ r k
چله	tʃ l e
چله	tʃ l e
چله	tʃ l e
چلوکباب	tʃ l u k b ɒ b
چو	tʃ uː
چو	tʃ uː
چوپ	tʃ u p
چیش	tʃ i ʃ
ژ	ʒ
ژرف‌تر	ʒ r f t r
ژرف‌ترین	ʒ r f t r i n
ژنو	ʒ n uː
ژولیدن	ʒ u l i d n
ژوپیتر	ʒ u p i t r
ڤ	
کارواژه‌ها	k ɒ r u ɒ ʒ h h ɒ
کارواژگان	k ɒ r u ɒ ʒ ɡ ɒ n
کارورزی	k ɒ r u r z iː
کاغذها	k ɒ ɣ z h ɒ
کالب	k ɒ l b
کالب	k ɒ l b
کردن	k r d n
کریمه	k r i m e
کشتی	k ʃ t iː
کشکول	k ʃ k u l
کفتر	k f t r
کفش	k f ʃ
کلاس	k l ɒ s
کلپ	k l p
کمو	k m uː
کن	k n
کهکشان‌ها	k h k ʃ ɒ n h ɒ
کوتاه‌تر	k u t ɒ h t r
کوتاه‌ترین	k u t ɒ h t r i n
کودکان	k u d k ɒ n
کون	k u n
کوچک‌تر	k u tʃ k t r
کوچک‌ترین	k u tʃ k t r i n
کویت	k u j t
کین	k i n
کینه	k i n e
کیوبیک	k i v b i k
کیوبیک	k i v b i k
کیچه	k i tʃ e
کیچه	k i tʃ e
گا	ɡ ɒ
گاش	ɡ ɒ ʃ
گاو	ɡ ɒ uː
گدا	ɡ d ɒ
گدا	ɡ d ɒ
گدا	ɡ d ɒ
گدا	ɡ d ɒ
گدازه	ɡ d ɒ z e
گربسن	ɡ r b s n
گرختن	ɡ r x t n
گرختن	ɡ r x t n
گرزمان	ɡ r z m ɒ n
گز	ɡ z
گزاف‌تر	ɡ z ɒ f t r
گزاف‌ترین	ɡ z ɒ f t r i n
گلف	ɡ l f
گلی	ɡ l iː
گلی	ɡ l iː
گنم	ɡ n m
گواران	ɡ u ɒ r ɒ n
گودرز	ɡ u d r z
گودرز	ɡ u d r z
گوسفند	ɡ u s f n d
گیک	ɡ i k
یاساء	i ɒ s ɒ ʔ
ے	
