ء	ʔ
ء	ʔ
آبه	ɑː b h
آجه	ɑː d͡ʒ h
آرامی	ɑː ɾ ɒ m i
آزردن	ɑː z ɾ d n
آشوب‌ها	ɑː ʃ u b h ɒ
آنلاین	ɑː n l ɒ i n
ا	ɒ
ا	ɒ
اتا	ɒ t ɒ
اتم‌ها	ɒ t m h ɒ
استراتژی	ɒ s t ɾ ɒ t ʒ i
استیون	ɒ s t i u n
افیون	ɒ f i u n
المزده	ɒ l m z d h
الیجو	ɒ l i d͡ʒ u
امضاء	ɒ m z ɒ ʔ
امین‌ها	ɒ m i n h ɒ
ان	ɒ n
اندی	ɒ n d i
انرژی	ɒ n ɾ ʒ i
او	ɒ u
او	ɒ u
اون	ɒ u n
اوکی	ɒ u k i
ای	ɒ i
ای	ɒ i
ایام	ɒ i ɒ m
ایش	ɒ i ʃ
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
ب	b
باحال‌تر	b ɒ h ɒ l t ɾ
باحال‌ترین	b ɒ h ɒ l t ɾ i n
باروت	b ɒ ɾ u t
بارود	b ɒ ɾ u d
باریک‌تر	b ɒ ɾ i k t ɾ
باریک‌ترین	b ɒ ɾ i k t ɾ i n
باغات	b ɒ ɣ ɒ t
باغ‌ها	b ɒ ɣ h ɒ
باف	b ɒ f
بالغ	b ɒ l ɣ
بامزه‌تر	b ɒ m z h t ɾ
بامزه‌ترین	b ɒ m z h t ɾ i n
باولی	b ɒ u l i
بایستی	b ɒ i s t i
بختر	b x t ɾ
بدهی	b d h i
بدی	b d i
بر	b ɾ
برار	b ɾ ɒ ɾ
برار	b ɾ ɒ ɾ
برار	b ɾ ɒ ɾ
بزاق	b z ɒ ɣ
بزرگ‌امید	b z ɾ ɡ ɒ m i d
بزرگ‌امید	b z ɾ ɡ ɒ m i d
بسنده	b s n d h
بفرمایید	b f ɾ m ɒ i i d
بلا	b l ɒ
بلاگ	b l ɒ ɡ
بلعیدن	b l ʔ i d n
بلگ	b l ɡ
بم	b m
بهاری	b h ɒ ɾ i
بهبود	b h b u d
بهتان	b h t ɒ n
بهتان	b h t ɒ n
بوته	b u t h
بوته	b u t h
بوران	b u ɾ ɒ n
بون	b u n
بچه	b t͡ʃ h
بچه	b t͡ʃ h
بید	b i d
بیل	b i l
بیمارتر	b i m ɒ ɾ t ɾ
بیمارترین	b i m ɒ ɾ t ɾ i n
بەت	b ە t
تاریک‌تر	t ɒ ɾ i k t ɾ
تاریک‌ترین	t ɒ ɾ i k t ɾ i n
تازه‌تر	t ɒ z h t ɾ
تازه‌ترین	t ɒ z h t ɾ i n
تجربی	t d͡ʒ ɾ b i
ترسایی	t ɾ s ɒ i i
ترکیدن	t ɾ k i d n
تغایی	t ɣ ɒ i i
تغییرات	t ɣ i i ɾ ɒ t
تلویحی	t l u i h i
تمیزتر	t m i z t ɾ
تمیزترین	t m i z t ɾ i n
تنبان	t n b ɒ n
تنیسور	t n i s u ɾ
تهرون	t h ɾ u n
تو	t u
توزیع	t u z i ʔ
توسی	t u s i
توپولوژی	t u p u l u ʒ i
تکرار	t k ɾ ɒ ɾ
تکرار	t k ɾ ɒ ɾ
تکرار	t k ɾ ɒ ɾ
تکرار	t k ɾ ɒ ɾ
تکفور	t k f u ɾ
تکور	t k u ɾ
تکور	t k u ɾ
ثابت‌ها	s ɒ b t h ɒ
ثروت	s ɾ u t
ثروت	s ɾ u t
ثروت	s ɾ u t
ثروتمند	s ɾ u t m n d
ثروتمند	s ɾ u t m n d
ثروتمند	s ɾ u t m n d
جعفری	d͡ʒ ʔ f ɾ i
جلو	d͡ʒ l u
جلو	d͡ʒ l u
جلو	d͡ʒ l u
جلو	d͡ʒ l u
جلو	d͡ʒ l u
جمول	d͡ʒ m u l
جنون	d͡ʒ n u n
حاد	h ɒ d
حدادی	h d ɒ d i
خ	x
خ	x
خاص	x ɒ s
خاص‌تر	x ɒ s t ɾ
خاص‌ترین	x ɒ s t ɾ i n
خاویار	x ɒ u i ɒ ɾ
خرداد	x ɾ d ɒ d
خروس	x ɾ u s
خزندگان	x z n d ɡ ɒ n
خشکاندن	x ʃ k ɒ n d n
خشکوندن	x ʃ k u n d n
خندون	x n d u n
خو	x u
خوانندگان	x u ɒ n n d ɡ ɒ n
خودنویس	x u d n u i s
خوره	x u ɾ h
خوشنویس	x u ʃ n u i s
خوشگل‌تر	x u ʃ ɡ l t ɾ
خوشگل‌ترین	x u ʃ ɡ l t ɾ i n
خونه	x u n h
خیم	x i m
خەر	x ە ɾ
دادار	d ɒ d ɒ ɾ
دختر	d x t ɾ
دختر	d x t ɾ
در	d ɾ
درست	d ɾ s t
درست	d ɾ s t
درست	d ɾ s t
درست	d ɾ s t
درست	d ɾ s t
درشت	d ɾ ʃ t
درشت	d ɾ ʃ t
درودن	d ɾ u d n
دروغ‌ها	d ɾ u ɣ h ɒ
درگاه	d ɾ ɡ ɒ h
دلفین	d l f i n
دلفین	d l f i n
دندان	d n d ɒ n
دنیدن	d n i d n
دو	d u
دودل	d u d l
دپارتمان	d p ɒ ɾ t m ɒ n
دیسک‌ها	d i s k h ɒ
دیوار	d i u ɒ ɾ
ذ	z
ذاتی	z ɒ t i
ر	ɾ
ر	ɾ
ر	ɾ
ر	ɾ
ر	ɾ
را	ɾ ɒ
را	ɾ ɒ
را	ɾ ɒ
را	ɾ ɒ
را	ɾ ɒ
رحیم	ɾ h i m
رختن	ɾ x t n
رستورانت	ɾ s t u ɾ ɒ n t
رستورانت‌ها	ɾ s t u ɾ ɒ n t h ɒ
رستوران‌ها	ɾ s t u ɾ ɒ n h ɒ
رستوران‌ها	ɾ s t u ɾ ɒ n h ɒ
رشت	ɾ ʃ t
رشت	ɾ ʃ t
رم	ɾ m
رم	ɾ m
روادید	ɾ u ɒ d i d
رودابه	ɾ u d ɒ b h
رودابه	ɾ u d ɒ b h
رولوسیونر	ɾ u l u s i u n ɾ
روند	ɾ u n d
رکورد	ɾ k u ɾ d
رکورد	ɾ k u ɾ d
ریدک	ɾ i d k
ریدک	ɾ i d k
ریدک	ɾ i d k
ریدک	ɾ i d k
زئوس	z ʔi u s
زمی	z m i
زمی	z m i
زوو	z u u
زیاد	z i ɒ d
زیباتر	z i b ɒ t ɾ
زیباترین	z i b ɒ t ɾ i n
زیرزمین	z i ɾ z m i n
ساده‌تر	s ɒ d h t ɾ
ساده‌ترین	s ɒ d h t ɾ i n
سارا	s ɒ ɾ ɒ
سامانه‌ها	s ɒ m ɒ n h h ɒ
سبزه	s b z h
ستاره‌شناس	s t ɒ ɾ h ʃ n ɒ s
سختن	s x t n
سرحد	s ɾ h d
سریدن	s ɾ i d n
سمند	s m n d
سمیعی	s m i ʔ i
سن	s n
سنت‌ها	s n t h ɒ
سه	s h
سه	s h
سه	s h
سهاسکرت	s h ɒ s k ɾ t
سه‌بعدی	s h b ʔ d i
سوت	s u t
سوت	s u t
سوخ	s u x
سوخ	s u x
سود	s u d
سورپرایز	s u ɾ p ɾ ɒ i z
سورپرایز	s u ɾ p ɾ ɒ i z
سورپریز	s u ɾ p ɾ i z
سورپریز	s u ɾ p ɾ i z
سوز	s u z
سیاره‌ها	s i ɒ ɾ h h ɒ
سیاه‌گوش	s i ɒ h ɡ u ʃ
سیل	s i l
سیل	s i l
سیلاس	s i l ɒ s
سیلو	s i l u
ش	ʃ
ش	ʃ
ش	ʃ
ش	ʃ
ش	ʃ
ش	ʃ
شات	ʃ ɒ t
شاخه	ʃ ɒ x h
شاداب	ʃ ɒ d ɒ b
شاهان	ʃ ɒ h ɒ n
شاهزادگان	ʃ ɒ h z ɒ d ɡ ɒ n
شعب	ʃ ʔ b
شغال‌ها	ʃ ɣ ɒ l h ɒ
شغال‌ها	ʃ ɣ ɒ l h ɒ
شلوغ	ʃ l u ɣ
شلوغ‌تر	ʃ l u ɣ t ɾ
شلوغ‌ترین	ʃ l u ɣ t ɾ i n
شنبلیله	ʃ n b l i l h
شنبلیله	ʃ n b l i l h
شهرزاد	ʃ h ɾ z ɒ d
شهریور	ʃ h ɾ i u ɾ
شهنشاه	ʃ h n ʃ ɒ h
شوروی	ʃ u ɾ u i
شوید	ʃ u i d
شپش	ʃ p ʃ
شپش‌ها	ʃ p ʃ h ɒ
شکال	ʃ k ɒ l
شکال	ʃ k ɒ l
شکستنی	ʃ k s t n i
شکلاتی	ʃ k l ɒ t i
شیرین‌تر	ʃ i ɾ i n t ɾ
شیرین‌ترین	ʃ i ɾ i n t ɾ i n
صورتی	s u ɾ t i
ض	z
ض	z
ض	z
ض	z
ض	z
ض	z
ضربان	z ɾ b ɒ n
طلا	t l ɒ
ع	ʔ
ع	ʔ
عام‌المنفعه	ʔ ɒ m ɒ l m n f ʔ h
عباء	ʔ b ɒ ʔ
عجیب‌تر	ʔ d͡ʒ i b t ɾ
عجیب‌ترین	ʔ d͡ʒ i b t ɾ i n
عضوها	ʔ z u h ɒ
عمو	ʔ m u
غذا	ɣ z ɒ
غرق	ɣ ɾ ɣ
غمگینی	ɣ m ɡ i n i
غژب	ɣ ʒ b
فاک	f ɒ k
فر	f ɾ
فرآیند	f ɾ ɑː i n d
فراموشیدن	f ɾ ɒ m u ʃ i d n
فروردین	f ɾ u ɾ d i n
فروهر	f ɾ u h ɾ
فروهر	f ɾ u h ɾ
فسیل	f s i l
فلاخن	f l ɒ x n
فوق‌العاده	f u ɣ ɒ l ʔ ɒ d h
فون	f u n
فک	f k
ق	ɣ
قربک	ɣ ɾ b k
قزاق	ɣ z ɒ ɣ
قشنگی	ɣ ʃ n ɡ i
لبی	l b i
لزوماً	l z u m ɒ ً
لهذا	l h z ɒ
لوله	l u l h
لوله	l u l h
لی	l i
لیک	l i k
م	m
مادر	m ɒ d ɾ
مارس	m ɒ ɾ s
ماهور	m ɒ h u ɾ
مجرد	m d͡ʒ ɾ d
محافظه‌کار	m h ɒ f z h k ɒ ɾ
مختل	m x t l
مد	m d
مر	m ɾ
مرد	m ɾ d
مرداد	m ɾ d ɒ d
مردها	m ɾ d h ɒ
مرغ‌ها	m ɾ ɣ h ɒ
مرو	m ɾ u
مرو	m ɾ u
مروارید	m ɾ u ɒ ɾ i d
مروارید	m ɾ u ɒ ɾ i d
مروارید	m ɾ u ɒ ɾ i d
مروزی	m ɾ u z i
مروزی	m ɾ u z i
مروزی	m ɾ u z i
مرچ	m ɾ t͡ʃ
مریضی	m ɾ i z i
مشکل‌تر	m ʃ k l t ɾ
مشکل‌ترین	m ʃ k l t ɾ i n
مشکل‌ها	m ʃ k l h ɒ
مصون	m s u n
معالجه	m ʔ ɒ l d͡ʒ h
مغرور	m ɣ ɾ u ɾ
مل	m l
مله	m l h
مناسبت	m n ɒ s b t
مناسبت	m n ɒ s b t
منطقه	m n t ɣ h
منطقه	m n t ɣ h
منیژه	m n i ʒ h
منیژه	m n i ʒ h
مه	m h
مه	m h
مه	m h
مه	m h
مه	m h
مو	m u
موز	m u z
مولانا	m u l ɒ n ɒ
مولانا	m u l ɒ n ɒ
مومیا	m u m i ɒ
مومیا	m u m i ɒ
مک	m k
مگ	m ɡ
مگ	m ɡ
می	m i
میخی	m i x i
میرزاخانی	m i ɾ z ɒ x ɒ n i
میرزاخانی	m i ɾ z ɒ x ɒ n i
مین	m i n
می‌گم	m i ɡ m
ن	n
ن	n
نالان	n ɒ l ɒ n
نالون	n ɒ l u n
نان	n ɒ n
نجس‌تر	n d͡ʒ s t ɾ
نجس‌ترین	n d͡ʒ s t ɾ i n
نریمان	n ɾ i m ɒ n
نزدیک‌تر	n z d i k t ɾ
نزدیک‌ترین	n z d i k t ɾ i n
نسرین	n s ɾ i n
نشلیدن	n ʃ l i d n
نعوظ	n ʔ u z
نمایان	n m ɒ i ɒ n
نمایان	n m ɒ i ɒ n
نمایندگان	n m ɒ i n d ɡ ɒ n
نمایه	n m ɒ i h
نمودار	n m u d ɒ ɾ
نمک	n m k
نمک	n m k
نمک	n m k
نه	n h
نه	n h
نه	n h
نه	n h
نه	n h
نوم	n u m
نوم	n u m
نومد	n u m d
نوک	n u k
نیازها	n i ɒ z h ɒ
نیرومند	n i ɾ u m n d
نیزه	n i z h
نیوشا	n i u ʃ ɒ
هرتز	h ɾ t z
هلو	h l u
همساده	h m s ɒ d h
همساده	h m s ɒ d h
همسده	h m s d h
همه	h m h
همه	h m h
هوتن	h u t n
هیس	h i s
و	u
و	u
و	u
واقع	u ɒ ɣ ʔ
واقع	u ɒ ɣ ʔ
واقع	u ɒ ɣ ʔ
واقع	u ɒ ɣ ʔ
والا	u ɒ l ɒ
واژه‌ها	u ɒ ʒ h h ɒ
واکسن	u ɒ k s n
وروجک	u ɾ u d͡ʒ k
وروجک	u ɾ u d͡ʒ k
وزغ	u z ɣ
ونوس	u n u s
ویستا	u i s t ɒ
ویه	u i h
ویژگی‌ها	u i ʒ ɡ i h ɒ
پ	p
پ	p
پا	p ɒ
پارسه	p ɒ ɾ s h
پتلون	p t l u n
پدر	p d ɾ
پر	p ɾ
پرتگاه	p ɾ t ɡ ɒ h
پروسه	p ɾ u s h
پروسه	p ɾ u s h
پروسه	p ɾ u s h
پروژه	p ɾ u ʒ h
پروژه	p ɾ u ʒ h
پروژه	p ɾ u ʒ h
پروگرام	p ɾ u ɡ ɾ ɒ m
پروگرام	p ɾ u ɡ ɾ ɒ m
پروگرام	p ɾ u ɡ ɾ ɒ m
پرویز	p ɾ u i z
پرویز	p ɾ u i z
پسر	p s ɾ
پسی	p s i
پش	p ʃ
پشتون	p ʃ t u n
پشمین	p ʃ m i n
پشه	p ʃ h
پشه	p ʃ h
پلان	p l ɒ n
پلان	p l ɒ n
پلاک	p l ɒ k
پناهندگان	p n ɒ h n d ɡ ɒ n
پوده	p u d h
پوزخند	p u z x n d
پی	p i
پی	p i
پیر	p i ɾ
پیرتر	p i ɾ t ɾ
پیرترین	p i ɾ t ɾ i n
چ	t͡ʃ
چرخیدن	t͡ʃ ɾ x i d n
چرک	t͡ʃ ɾ k
چرک	t͡ʃ ɾ k
چله	t͡ʃ l h
چله	t͡ʃ l h
چله	t͡ʃ l h
چلوکباب	t͡ʃ l u k b ɒ b
چو	t͡ʃ u
چو	t͡ʃ u
چوپ	t͡ʃ u p
چیش	t͡ʃ i ʃ
ژ	ʒ
ژرف‌تر	ʒ ɾ f t ɾ
ژرف‌ترین	ʒ ɾ f t ɾ i n
ژنو	ʒ n u
ژولیدن	ʒ u l i d n
ژوپیتر	ʒ u p i t ɾ
ڤ	ڤ
کارواژه‌ها	k ɒ ɾ u ɒ ʒ h h ɒ
کارواژگان	k ɒ ɾ u ɒ ʒ ɡ ɒ n
کارورزی	k ɒ ɾ u ɾ z i
کاغذها	k ɒ ɣ z h ɒ
کالب	k ɒ l b
کالب	k ɒ l b
کردن	k ɾ d n
کریمه	k ɾ i m h
کشتی	k ʃ t i
کشکول	k ʃ k u l
کفتر	k f t ɾ
کفش	k f ʃ
کلاس	k l ɒ s
کلپ	k l p
کمو	k m u
کن	k n
کهکشان‌ها	k h k ʃ ɒ n h ɒ
کوتاه‌تر	k u t ɒ h t ɾ
کوتاه‌ترین	k u t ɒ h t ɾ i n
کودکان	k u d k ɒ n
کون	k u n
کوچک‌تر	k u t͡ʃ k t ɾ
کوچک‌ترین	k u t͡ʃ k t ɾ i n
کویت	k u i t
کین	k i n
کینه	k i n h
کیوبیک	k i u b i k
کیوبیک	k i u b i k
کیچه	k i t͡ʃ h
کیچه	k i t͡ʃ h
گا	ɡ ɒ
گاش	ɡ ɒ ʃ
گاو	ɡ ɒ u
گدا	ɡ d ɒ
گدا	ɡ d ɒ
گدا	ɡ d ɒ
گدا	ɡ d ɒ
گدازه	ɡ d ɒ z h
گربسن	ɡ ɾ b s n
گرختن	ɡ ɾ x t n
گرختن	ɡ ɾ x t n
گرزمان	ɡ ɾ z m ɒ n
گز	ɡ z
گزاف‌تر	ɡ z ɒ f t ɾ
گزاف‌ترین	ɡ z ɒ f t ɾ i n
گلف	ɡ l f
گلی	ɡ l i
گلی	ɡ l i
گنم	ɡ n m
گواران	ɡ u ɒ ɾ ɒ n
گودرز	ɡ u d ɾ z
گودرز	ɡ u d ɾ z
گوسفند	ɡ u s f n d
گیک	ɡ i k
یاساء	i ɒ s ɒ ʔ
ے	ے
